ProfessorName,Number5s,Number4s,Number3s,Number2s,Number1s
"Sanya, B",10,7,2,3,1
"Trent, W",11,5,3,6,3
"Reid, J",5,13,5,0,3
"Kang, H",2,11,4,0,0
"Gannon-Slater, N",7,11,2,5,0
"Schwandt, T",0,13,2,2,1
"Jackson, J",0,5,5,5,1
"Hastings, L",5,4,3,6,0
"Lee, J",13,11,5,0,2
"Finnerty, J",0,1,4,6,0
"Deuskar, P",1,11,3,2,0
"Campbell, R",11,13,6,5,0
"Gaillard, S",11,6,4,2,1
"Swift, C",6,13,4,1,3
"Pruneddu, P",11,10,5,0,0
"Chazal, K",2,9,3,0,3
"Dia, V",2,13,5,0,2
"Abbas, A",7,7,1,6,0
"Verma, T",5,7,3,6,2
"Lewis, Q",6,9,5,2,2
"Yu, C",10,2,2,2,1
"Minn, M",5,6,4,4,2
"Fouke, B",14,9,3,4,1
"Song, X",4,13,1,0,2
"Yanny-Tillar, S",10,10,1,6,3
"Duntz, A",13,10,5,0,2
"Grotovsky, Z",2,2,4,4,3
"Pinkert, A",11,5,4,3,2
"Blanco, S",4,12,1,5,0
"Marshall, K",1,10,1,1,0
"Schwend, L",9,8,6,2,3
"Barnard, J",10,9,1,6,3
"Armstrong, C",12,1,5,2,1
"Gershenfeld, S",9,1,1,6,3
"Vostral, S",1,4,4,1,2
"Shapiro, C",11,4,5,4,3
"Smart, D",14,8,2,4,3
"Drake, J",2,5,6,0,1
"Crafts, L",10,13,5,4,0
"McKinley, E",1,9,5,3,1
"Winkelmann, M",5,2,6,0,2
"Fouche, R",9,12,4,0,1
"Hoganson, K",6,7,4,3,3
"Flesher, J",9,5,5,3,0
"Taylor, C",10,13,3,3,2
"Hu, F",7,9,1,5,1
"Bilansky, A",9,1,5,4,2
"Scott, J",4,5,1,1,0
"Kinoshita, R",1,12,1,3,0
"McClarey, J",7,5,2,6,0
"Moore, R",2,6,4,0,3
"Kim, S",12,10,3,0,1
"You, I",5,13,4,6,2
"Johnson, J",9,7,5,6,3
"Foohey, P",14,11,2,4,0
"Tarr, N",8,7,4,3,1
"Molk, P",4,2,5,0,2
"Soares De Olive, N",4,11,4,0,3
"Noble, W",6,12,4,6,3
"Berchman, M",10,1,5,2,1
"Simpson, P",2,11,1,2,0
"Dencker, J",11,11,3,4,3
"Brown, K",7,12,2,5,3
"Hamilton, J",14,3,2,1,3
"Munroe, M",2,11,5,0,0
"Stromberg, M",1,6,5,2,0
"Noble, S",5,13,3,6,1
"Aydin-Mullen, Y",10,8,4,5,1
"DiPasquale, M",4,5,2,0,3
"Rochford, A",6,12,2,1,2
"Anders, K",10,7,1,5,0
"Vichitkunakorn, P",6,2,3,4,1
"Choi, I",13,4,3,2,2
"Galiardi, M",7,1,6,2,0
"Shen, J",4,10,5,0,1
"Reiniger, B",9,10,4,0,2
"Chousionis, V",6,1,2,4,2
"Wong, Y",5,10,6,3,1
"Arnold, M",0,8,6,4,0
"Bagchi, M",14,10,3,3,1
"Techtow, K",14,2,3,0,3
"Kazemifar, F",1,11,3,2,1
"Beaudoin, A",11,12,5,2,3
"Chiu, M",11,9,4,2,1
"Morris, H",4,6,4,5,1
"Hawkins, J",13,10,5,0,0
"Fay, K",6,6,4,2,1
"Osborne, R",10,3,4,6,2
"O'Connell, D",13,9,2,0,0
"Mack, E",14,5,4,0,3
"Schwartzenberg, E",5,12,4,5,1
"Richeson, C",6,7,5,6,1
"Arana, A",6,10,2,0,3
"Zhang, W",2,13,2,4,2
"Svolik, M",6,12,2,0,2
"Robinson, T",12,3,4,4,1
"Gaspar, J",10,7,5,2,2
"Clevenger, J",13,9,5,0,1
"Weidenbenner, J",10,7,5,2,0
"Tworek, C",2,9,4,1,1
"Ryskin, R",5,12,6,2,2
"Kral, M",12,4,3,6,3
"Rodkin, P",1,4,4,4,2
"Gronlund, S",14,5,1,2,2
"Grijalva, E",14,1,5,2,1
"Klee, R",14,12,6,6,3
"Chandrashekar, R",12,1,3,2,2
"Vayntrub, J",5,13,1,5,0
"Lindsay, C",4,12,2,4,2
"Hageman, E",7,8,3,0,3
"Willis, A",13,4,2,4,3
"Krankoski, M",10,5,5,3,2
"Hardwick, J",8,5,2,5,2
"Castro, M",10,4,6,3,3
"Lansing, C",14,5,6,0,2
"Schulz, M",5,4,3,2,3
"Chiang, P",14,11,6,2,0
"Park, M",8,1,3,0,3
"Scarpace, D",8,2,6,6,0
"Morales, A",8,2,6,3,1
"Trach, J",14,4,6,6,3
"Paul, S",12,8,6,1,0
"Rho, Y",5,8,4,5,3
"Shu, X",3,7,4,5,1
"Bechtel, J",6,9,2,0,0
"Fuller, J",13,5,6,1,3
"Sun, Y",12,9,5,0,0
"Novak, A",2,10,1,1,2
"Welle, K",13,5,2,5,2
"Mariano, L",3,7,4,0,3
"Ettleson, D",12,4,1,1,3
"Ellison, J",9,8,6,1,1
"Braverman, I",3,11,3,4,2
"Strukoff, R",12,11,6,6,0
"Dettloff, K",3,5,4,0,1
"Foley, P",2,3,5,6,1
"Wirt, J",8,12,4,5,1
"Pelella, A",3,12,6,1,1
"Jang, P",13,13,5,4,0
"Arvin, K",11,10,6,6,2
"Miller, B",6,12,5,1,1
"Forsberg, B",14,4,6,1,0
"Black, W",14,1,2,5,2
"Wang, J",13,5,6,1,2
"Doogar, R",12,7,4,6,1
"Hornbaker, R",1,4,1,1,2
"Rong, J",3,4,1,0,0
"Hayes, J",6,10,6,2,2
"Chinchanachokch, B",8,6,5,4,0
"Kingstedt, O",3,11,3,0,1
"Adams, S",11,4,5,4,2
"Meyer, K",13,7,6,6,0
"Teves, S",7,1,5,5,3
"Wilson, L",7,3,2,5,3
"Serao, M",14,5,2,3,0
"Fahey, G",8,13,2,4,3
"Skousen, B",2,2,4,3,3
"Larkin, L",10,1,5,3,3
"Gimpert, A",13,9,1,1,3
"Niermann, M",6,7,4,4,0
"Meehan, P",9,2,1,4,1
"Sullivan, N",1,8,2,6,0
"Vanidestine, S",10,9,5,5,2
"Linn, H",1,7,6,4,0
"Gratz, D",4,11,5,6,0
"Lee, W",10,13,2,2,2
"Luu, J",2,1,2,0,2
"Robbennolt, L",5,9,6,1,3
"Martin, E",14,7,5,2,3
"Marina, A",9,11,1,2,3
"Mulhearn, K",11,1,5,3,1
"Cartwright, S",3,11,1,5,0
"Suppok, R",7,2,1,1,2
"White, J",4,12,3,6,3
"Packard, C",14,12,1,1,2
"Preis, M",0,7,1,1,1
"Ebrahim Khanjar, N",5,2,5,6,1
"Yang, S",14,12,2,4,2
"McCormick, M",0,11,6,4,1
"Tafti, A",3,4,5,0,0
"Clarke, J",0,3,1,3,2
"Huang, R",11,2,2,3,2
"Gentry, K",4,9,1,5,1
"Williams, L",1,13,3,5,3
"Marks-Dubbs, K",7,12,3,6,2
"Hine, A",12,12,4,2,2
"Lozano, J",3,2,1,3,3
"Struble, L",1,10,6,4,2
"Elnashai, A",7,11,1,6,3
"Lee, J",13,8,3,6,2
"Ha, Y",8,10,2,2,3
"Kim, H",12,13,3,5,0
"Yang, N",0,9,5,3,0
"Seymour, C",9,8,5,0,0
"Miao, Y",4,5,1,0,0
"Jamieson, D",9,6,5,2,0
"Salim, M",12,5,6,2,1
"Desai, S",7,2,6,6,1
"Li, Z",14,7,5,6,1
"Evans, M",6,8,3,1,0
"Townsend, R",5,8,4,4,0
"Conlisk, C",12,10,1,2,0
"Diggins, C",8,7,2,2,1
"Terry, M",3,11,1,0,1
"Delic-Ovcina, L",7,10,4,4,0
"Combs, D",3,2,2,2,2
"Black, A",1,10,4,5,0
"Bronson-Lowe, D",12,11,2,1,1
"Buchner, D",11,12,3,5,0
"Beardall, J",9,8,3,5,2
"Amalia, Y",5,7,6,4,1
"Garcia, G",10,2,3,4,2
"Elrick, D",10,4,6,4,3
"Kang, G",2,11,1,2,3
"Kline, S",14,6,5,0,1
"Woodard, R",9,5,6,4,0
"Noffke, S",5,13,6,1,3
"Bresler, L",7,3,1,2,0
"Yona, S",12,3,3,3,1
"Stewart, S",3,11,4,4,1
"Nettles, J",2,8,1,4,3
"Dobosh, M",6,10,2,5,2
"Carlson, E",6,8,4,3,1
"McCullough, N",6,12,4,4,1
"Atouba Ada, Y",2,4,1,6,2
"Lowe, M",1,8,2,5,2
"King, A",10,2,2,4,2
"Haegele, J",9,4,2,4,3
"Miller, K",13,4,2,6,3
"Kamin, S",5,9,3,4,1
"Dig, D",5,6,4,4,2
"King, S",5,3,1,3,1
"Johnson, R",13,2,5,4,2
"Hamrick, A",6,8,3,5,0
"Lai, P",1,4,4,3,2
"DiGregorio, A",10,11,4,4,0
"Speights, R",7,2,6,0,0
"Remes, M",11,7,2,5,2
"Kelley, K",11,8,2,5,3
"Nuffer, L",5,6,3,1,0
"Vogel, E",9,13,3,5,0
"Karantasis, K",13,7,3,4,1
"Mohamed, M",14,4,1,4,1
"Pop, E",6,6,5,1,1
"Stratton, J",0,8,2,1,1
"Huang, T",14,12,5,1,3
"Coleman, J",11,2,3,2,3
"King, D",9,8,1,1,3
"Schneider, J",14,11,3,5,2
"Zubareva, D",9,7,3,1,0
"Xie, X",2,1,6,1,0
"Chang, E",11,5,1,0,0
"Nivin Valdiviez, R",5,2,5,3,2
"Jo, Y",1,3,3,3,1
"Cheng, T",2,3,5,6,2
"Bailey Athias, D",7,6,1,5,3
"Toossi Ardakani, A",4,13,1,3,2
"Villamil, A",8,13,3,2,0
"Belluzzo, W",0,13,6,1,2
"Zink, A",7,11,4,6,2
"Vredenburg, J",9,12,5,3,2
"Oneil, J",4,11,1,2,2
"Beach, J",8,4,1,5,1
"Goodlad, L",7,1,3,6,1
"Rothberg, M",4,1,3,1,2
"Cain, T",2,2,5,5,2
"Jones, J",2,6,2,0,1
"Greenhalgh-Spen, H",10,1,2,2,3
"Murdock-Jordan, C",4,12,4,4,2
"Grison Sullivan, S",2,8,3,4,0
"Caskurlu, T",14,10,1,3,3
"Sarrafi, N",7,8,5,4,1
"Ay, D",12,1,2,2,1
"Liu, P",10,11,3,0,1
"Agarwal, C",6,13,1,2,3
"Clark, S",0,8,6,0,3
"Hackbarth, D",3,10,1,0,1
"Mallon, M",5,4,3,4,1
"Andre, K",10,2,6,5,3
"Laforet, J",1,2,6,4,2
"Keller, M",4,2,2,0,1
"Zhou, E",1,5,1,3,2
"Burgon, H",12,6,2,5,3
"Cheng, B",11,9,1,0,0
"Umar, M",6,1,1,2,1
"Aadland, M",1,5,3,6,2
"Flint, C",2,13,2,3,1
"Nuesiri, E",4,8,2,4,1
"Chhatre, A",14,7,2,1,0
"Kehoe, K",9,3,4,4,0
"Hinton, J",0,10,4,5,1
"Zhang, G",4,13,5,3,0
"Armstrong, E",11,6,2,5,1
"Fischer, J",0,2,5,3,2
"Travlos, K",5,3,3,5,2
"Kuenning, M",14,2,3,2,1
"Roig Mora, A",13,3,3,4,0
"Siebert, A",0,3,4,6,0
"Prakash, A",9,3,3,4,0
"Jakel, E",14,10,4,1,2
"Staudenmaier, M",1,10,4,4,1
"Jordan, J",11,6,4,4,2
"Poppel, Z",14,1,2,5,1
"Hayton, J",9,2,2,4,0
"Georgescu, D",5,6,6,5,3
"Cain, C",3,5,3,4,1
"Hustak, C",1,8,1,1,2
"Prochaska, D",2,8,6,4,1
"Carrington, T",11,6,1,0,0
"Bowermaster, J",3,2,1,3,0
"Frazzetta, T",14,13,5,3,3
"Hoover, J",0,7,5,0,2
"Pang, J",10,3,1,5,2
"Davis, I",13,12,4,3,1
"Lemieux, C",11,11,3,3,1
"Iehl-Morse, K",13,7,4,1,0
"Dlugonski, D",10,7,5,3,1
"Bates, N",13,5,5,0,3
"Pyo, J",7,7,3,5,0
"Hindle, R",14,4,5,2,3
"Fulton, G",2,8,5,0,3
"Palma, K",4,11,5,0,2
"Mathews, J",8,4,2,2,3
"Williams, C",5,13,5,5,0
"Purvis, D",4,1,3,4,1
"Lundy, C",3,6,5,6,0
"Slavin, D",11,7,3,6,1
"Bielski Boris, M",3,6,4,1,1
"Luchkina, T",7,12,6,4,2
"Mahrt, T",3,1,6,0,1
"Twidale, M",10,5,1,6,2
"Mak, B",1,3,6,2,1
"Nielsen, A",8,8,6,5,1
"Burton, M",7,10,2,5,0
"Hotchkiss, V",7,2,2,0,0
"Troger, M",2,5,6,0,1
"Baldwin, M",8,11,1,1,1
"Bulut, E",13,13,6,3,0
"Shen, H",5,13,6,1,2
"Elichirigoity, F",14,9,2,2,3
"Bergman, T",11,6,5,4,1
"Chen, W",6,9,6,2,0
"Potter, R",0,3,3,5,3
"Lansing, J",13,1,2,3,2
"Phaovibul, M",10,12,5,5,0
"Rezvani, S",14,9,6,1,1
"Kim, K",9,10,5,1,1
"Eid, A",14,10,2,5,1
"Zhou, G",8,4,1,2,0
"Cummins, D",6,11,6,3,0
"Kim, E",5,12,5,2,1
"Dowdall, S",9,8,3,6,1
"Choi, J",8,4,4,4,1
"Cunningham, C",12,9,2,2,3
"Palmer, C",9,10,4,6,1
"Stolee, D",10,2,1,5,2
"Ma, X",7,2,4,1,2
"Bauer, R",13,12,2,6,3
"Newmark, P",7,5,4,4,0
"Hsu, K",3,5,5,1,2
"Sherburne, M",3,7,4,5,3
"Altstetter, C",10,5,5,6,0
"Griggs, J",12,10,2,2,0
"Ziegel, A",5,1,2,0,1
"Cayari, C",3,11,6,1,0
"Leyva, J",7,10,1,6,3
"Dolan, T",10,3,2,2,2
"Ellsworth, T",2,10,5,5,2
"Darmody, R",2,12,1,0,1
"Flint, C",1,10,4,0,2
"O'Neill, B",3,12,4,0,1
"Rabern, B",13,11,4,5,1
"Halfpap, B",6,2,4,5,3
"Liss, T",5,7,6,4,3
"Colgrove, A",8,9,4,4,2
"Remmel, M",1,7,2,1,2
"Miller, S",4,4,2,6,2
"Henehan, M",0,4,2,0,3
"Miller, J",3,7,2,3,2
"Tancredy, C",5,10,4,5,1
"Yeh, R",7,1,6,2,0
"Flores, L",5,2,5,3,1
"Joseph, N",9,2,3,5,1
"Finy, M",1,9,1,3,0
"Cavallaro, A",5,7,5,3,1
"Swenson, J",14,12,6,2,2
"Dillman, A",0,8,1,0,0
"Sobh, A",3,1,2,3,1
"Osborne, L",13,13,5,5,0
"Sundaram, D",4,7,6,4,3
"Walter, G",0,12,4,0,1
"Jones, J",3,3,5,6,1
"DeLuce, J",14,8,5,3,2
"Hryhorczuk, N",13,6,1,6,2
"Frogley, M",9,12,5,0,2
"Stenport, A",12,1,2,4,3
"Cravens, J",2,5,1,3,3
"Hughes, A",10,2,3,3,1
"Pandya, P",11,9,6,3,3
"Ono, T",12,1,2,4,3
"Ghadge, R",8,12,6,6,2
"Allendorf, K",3,8,2,5,3
"Vivoni Gallart, F",6,3,4,1,1
"Lian, B",6,13,3,4,0
"Balgopal, P",12,1,2,0,3
"Schreiber, J",6,9,4,6,2
"Johnson, J",4,12,3,2,3
"Hackbarth, V",1,8,2,6,3
"Pittman, K",0,7,4,6,1
"Shogren, K",8,4,3,2,1
"Zhang, J",12,8,1,4,1
"Bi, X",11,4,6,1,2
"Shi, P",1,2,1,3,0
"Zhong, W",6,10,4,2,3
"Ma, P",7,5,5,3,1
"Platt, S",9,8,5,6,2
"Saintillan, D",6,9,5,4,2
"Thompson, J",11,3,3,6,2
"Chumachenko, V",12,1,6,5,0
"Rahe, M",1,8,1,0,0
"Ferguson, D",7,4,2,0,0
"Kuhlenschmidt, M",10,3,6,4,0
"Elliott, J",10,8,2,5,3
"Grant, S",8,10,2,0,2
"Uhl, N",6,9,5,3,0
"Ha, Y",11,9,5,5,1
"Tu, A",2,6,2,5,2
"Hawkes, D",3,7,6,4,0
"McConnell, R",3,11,3,5,0
"Varava, K",5,12,6,2,0
"Zupancic, H",10,9,4,4,1
"Di Febo, J",10,7,1,4,2
"Mansky, W",3,9,1,3,3
"Archibald, R",13,9,5,5,3
"Zhu, J",2,8,6,1,2
"Bernotas, D",8,3,1,2,1
"Wilcox, B",7,6,2,2,0
"Zehr, S",9,8,5,4,0
"Kim, T",12,9,6,0,1
"Tallie, T",6,3,3,2,0
"Greenstein, D",1,4,3,5,1
"Roberto, K",9,11,2,5,1
"Kovacs, D",14,11,5,5,2
"Vellis, V",2,1,3,4,1
"Liu, H",7,5,6,1,1
"Vining, J",14,6,2,5,2
"Wang, Z",14,2,5,6,2
"Paceley, M",3,6,6,1,1
"Ward, T",0,13,6,1,0
"Anderson, A",11,2,3,5,0
"Saharan, A",7,3,6,5,0
"Carter, R",2,6,5,0,0
"Arnaldo, C",10,11,3,6,3
"Doub, J",2,9,4,3,1
"Pomeroy, B",4,5,5,0,2
"Bullock, D",3,7,6,4,2
"Ahearn, D",3,7,6,3,2
"Hamilton, J",3,4,6,5,1
"James, R",13,13,2,2,1
"Muhammad, R",10,6,6,2,1
"Niemerg, J",6,11,2,1,3
"Andrews, K",9,4,2,6,3
"Zundo, M",5,1,3,6,1
"Koelkebeck, K",13,6,5,6,2
"Hutjens, M",2,11,6,6,0
"Landry, T",10,6,2,0,1
"Davis, L",8,11,1,3,2
"Lugo, A",13,5,1,3,0
"Yaseen, N",6,9,5,1,3
"Kaha, A",12,11,1,1,1
"Hall, G",2,9,1,1,1
"Wiley, B",5,10,4,4,2
"Rubin, T",6,11,6,5,3
"Herrero Matoses, F",12,4,5,4,3
"Hayes, B",0,12,5,6,0
"Baidya Roy, S",5,8,4,2,2
"Sementi, D",13,6,2,2,2
"Yuan, H",10,2,4,4,0
"Lanesskog, S",5,5,5,1,1
"Su, C",6,3,4,3,3
"Liu, C",13,6,1,3,0
"Mawdsley, J",9,12,4,4,3
"Monroe, K",13,13,6,6,2
"Wetter, T",4,3,6,3,3
"Adamczyk, L",0,12,6,5,0
"Smith, J",0,6,3,1,1
"Srinivasan, V",13,6,4,3,3
"Lin, Y",6,1,2,0,3
"Borello, D",4,6,2,0,2
"Richardson, S",8,2,5,6,0
"He, J",1,13,4,5,1
"Lee, S",9,5,3,5,2
"Liu, W",5,13,6,2,3
"Nguyen, Y",12,11,3,1,2
"Ghosh, A",8,5,1,4,2
"Phung, D",6,11,5,5,0
"Papadopoulos, T",2,3,4,0,3
"Dickens, J",10,13,4,5,0
"Stone, R",6,13,1,2,0
"Lin, X",11,1,3,5,1
"Morey, P",2,2,2,4,1
"Buki, L",1,5,2,2,3
"Remmert, D",11,1,4,5,0
"Pianfetti, E",9,3,5,4,1
"Eiland, M",6,2,2,1,1
"Namikawa, T",8,10,4,3,3
"Kinney, A",0,12,3,4,3
"Keenan-Jones, D",8,10,2,4,0
"Cooper, K",0,4,2,0,2
"Brown, H",11,8,6,5,3
"Woodbury, M",6,4,5,5,3
"Hinrichs, S",13,9,6,4,3
"Totzke, T",0,2,6,2,3
"Moses, S",4,3,3,3,3
"Harris, K",10,4,4,5,3
"Fellows, K",11,7,4,1,2
"O'Brien, W",14,3,5,4,3
"Ma, C",4,9,2,1,3
"Heil, P",4,9,4,1,1
"Frank, M",7,3,5,3,3
"Soppelsa, M",14,3,6,3,1
"Jiang, N",5,5,4,4,0
"Bonilla Mejia, L",8,8,1,6,2
"Davidson, F",6,12,3,6,3
"Mohamed, F",4,2,4,3,3
"Sheets, F",10,4,4,0,3
"Skwarczek, K",3,3,2,3,1
"Wall, S",8,7,3,5,2
"Heath, E",14,10,4,3,3
"Haynes, R",5,6,4,6,0
"Lim, Y",6,1,4,0,1
"Lee, E",12,10,5,4,2
"Perry, M",0,8,6,1,1
"Khuri, M",5,13,2,4,3
"Bullock, C",9,6,6,0,0
"Robinson, J",4,4,4,4,2
"Lynge, M",2,4,5,3,0
"Charrat, P",9,11,4,3,3
"Ruane, A",6,7,1,4,3
"Hauser, S",5,13,6,4,3
"Golato, P",5,9,2,1,2
"Kremsner, V",14,8,6,2,3
"Hansen, L",10,6,5,6,2
"Russ, L",6,4,6,4,1
"Rudasill, L",8,2,5,2,2
"West, L",12,10,2,1,0
"Puente, S",13,13,3,5,2
"Hazen, M",13,2,5,2,3
"Mattson, R",7,9,1,3,2
"Belton, F",8,1,4,5,0
"Haselschwerdt, M",13,12,2,5,3
"Wilkins, T",14,2,4,4,3
"Crossman, K",9,10,6,0,1
"Burcica, P",12,4,4,6,1
"Cook, K",8,6,2,5,2
"Frank, M",4,5,5,0,3
"Feng, J",6,13,2,3,0
"Chiang, I",6,3,5,5,3
"Bruce, S",14,11,5,5,0
"Kurhajec, A",11,9,3,5,1
"Smith, M",14,1,1,6,0
"Hitchins, K",3,7,5,3,2
"Peng, J",12,11,3,4,1
"Vitosky, C",0,9,1,4,0
"Martindale, A",1,2,4,4,2
"Mercer, J",11,10,2,2,2
"Boiarskaia, E",10,11,2,1,3
"Inoue, M",8,7,5,5,3
"Bartlett, T",11,3,3,4,3
"Kim, J",3,4,3,3,0
"Ulen, T",5,5,3,4,2
"Mool, D",6,4,3,0,0
"Rubin, A",2,6,2,0,0
"Blockman, A",6,13,4,5,3
"Takahashi, B",0,9,2,2,3
"Silbar, E",5,13,6,2,3
"Lawrence, B",2,8,3,5,3
"Hartman, A",10,12,1,6,3
"Efron, M",7,13,1,3,2
"Miller, S",13,7,4,0,2
"Salo, D",12,6,5,5,2
"Garcia, M",8,6,6,6,3
"Velazquez, M",2,7,1,2,0
"Rasmusson, S",2,3,4,3,2
"Doran, S",6,10,3,6,0
"Kwon, J",6,7,5,3,3
"Christians, C",3,8,2,5,1
"Ackermann, C",13,12,1,5,0
"Dorner, B",5,7,6,4,3
"Yancey, M",4,3,4,3,3
"Li, X",4,2,5,3,3
"Parrish, A",12,13,6,0,2
"Liu, C",14,10,5,2,2
"Schuler, M",3,13,4,4,1
"Kyritsis, D",0,6,1,4,0
"Ashraf, A",11,9,4,0,0
"Nawaz, K",6,9,6,2,3
"Abuzaid, W",10,10,1,5,2
"Rogers, J",9,6,3,2,0
"Reyes, D",5,13,6,5,2
"Hennessy, C",13,9,4,1,0
"Warner, M",4,13,4,4,0
"Mullen, J",4,6,3,6,3
"Rumbelow, R",6,12,2,4,0
"Kaupat, R",1,12,2,1,3
"Wachtel, D",6,3,1,0,3
"Marty, T",11,4,3,2,1
"Taft, J",3,13,2,2,1
"Nesse, G",5,5,3,0,3
"Remhof, J",7,7,1,5,3
"Bowen, A",3,4,6,1,1
"Harmon, I",8,5,4,0,2
"Gladding, G",14,1,1,1,2
"Demarco, B",7,9,4,5,3
"Schulten, K",2,7,4,3,3
"Malekafzali, F",9,7,1,6,3
"Swenson, S",11,2,3,5,1
"Karimpour, R",10,2,5,4,3
"Divis, K",4,2,1,4,2
"Munson, C",3,9,3,6,0
"Ortega, L",5,4,1,2,2
"Yao, R",8,3,4,0,1
"Baniqued, P",9,8,4,0,2
"Hudson, N",8,7,6,1,1
"Liu, L",14,9,2,2,1
"Lee, G",4,4,1,5,3
"Pomerantz, E",8,7,4,4,2
"Worzalla, S",4,7,6,6,3
"Bock, J",14,10,2,1,1
"Olinger, A",2,11,1,3,3
"You, Y",6,5,3,3,2
"Treat, J",1,7,1,0,1
"Acevedo, J",13,3,4,5,3
"Sellers, H",0,8,6,5,2
"Bogue, E",1,11,4,2,2
"Huang, H",12,5,2,6,3
"Hong, J",14,5,5,4,3
"Kang, J",2,1,5,5,1
"Roedl, T",0,6,1,1,2
"Eamon, M",4,10,2,3,2
"Swinford, L",10,5,4,3,2
"Lopez Gonzalez, M",5,10,4,0,2
"Hetrovicz, L",1,2,6,6,1
"Crespo del Rio, C",14,2,1,6,3
"Beckman, E",14,3,5,2,2
"Kim, R",2,8,6,3,3
"Cho, H",3,6,3,3,0
"Lommele, J",14,4,6,4,2
"Kabasele, P",10,12,1,4,1
"Riedel, K",6,10,2,3,0
"Thatcher, A",11,8,2,5,2
"Quisenberry, K",6,13,5,4,0
"Phillips, P",10,1,6,3,1
"Boyer, R",0,2,1,2,0
"Knight, B",14,13,1,5,1
"Graves, T",4,8,1,0,1
"Klevsky, E",10,10,1,0,2
"Czerney, K",4,4,4,6,3
"Shah, P",11,4,6,0,2
"Kim, M",0,4,2,0,3
"Liu, X",14,3,3,6,2
"Gurumurthi, S",12,10,2,4,3
"Karns, K",10,3,1,0,3
"Muller, N",4,13,5,4,0
"Herrmann, L",12,10,3,1,1
"Martin, S",8,10,5,0,1
"Caudle, C",14,8,6,4,3
"Pittman, L",8,4,3,3,2
"Toole, J",0,13,1,0,3
"Weninger, T",7,4,5,3,3
"Griffith, D",10,6,4,3,1
"Montanari, M",0,2,6,1,3
"Brandt, E",14,13,5,1,0
"Leap, J",4,12,3,0,3
"Rogers, M",5,11,4,4,0
"Hassanzadeh, F",7,12,3,0,0
"Ingels, S",5,1,6,5,1
"Radlowski, E",2,1,2,0,3
"Kroh, R",5,3,4,3,2
"Smith, R",10,4,4,2,1
"Peters, T",11,8,2,0,1
"Xu, P",11,6,2,1,3
"Park, H",14,11,5,6,2
"Bankovic, A",5,1,6,1,1
"Roy, A",1,7,1,3,2
"Hebbard, C",1,9,3,3,0
"Davis, A",9,4,6,6,3
"Caughell, L",3,8,5,2,2
"Koev, D",11,2,4,3,0
"Lucas, S",9,3,2,3,3
"Elieff, C",4,9,2,1,1
"Monrad, D",7,9,3,4,2
"Wineman, M",13,6,6,0,2
"Vilasur Swamina, V",1,7,3,2,2
"Navaneetha, A",3,7,6,3,0
"Kinase-Leggett, E",3,7,6,3,1
"Washington, M",0,10,4,0,3
"Gilpin, D",4,6,4,0,2
"Donnelly, B",10,8,6,1,0
"Flicher, J",9,11,3,1,3
"Grubb, E",3,5,3,3,1
"Hsu, R",6,1,4,0,2
"Spread, S",8,7,1,5,2
"Schertz, M",7,5,5,5,1
"Lim, Y",8,6,3,0,2
"Jain, A",0,3,6,0,0
"Ruhmann, K",12,13,5,3,3
"Jackson, L",6,8,2,0,0
"Martin, C",3,7,4,3,1
"Chen, P",0,1,6,2,2
"Wu, Y",5,4,1,0,3
"Turner, C",6,6,6,1,0
"Arikan, O",8,9,2,1,0
"Rowe, S",12,5,5,5,0
"Kao, G",8,11,6,6,2
"Mathrumandiram, P",14,5,4,6,2
"Crowley, V",4,6,5,3,2
"Braden, J",9,13,1,0,1
"Nogueira, L",13,4,2,1,0
"Victor, S",11,6,4,2,0
"Niesen, M",14,13,3,5,3
"Hoff, T",7,8,1,0,1
"Praylow, P",4,9,5,6,0
"Murdoch, H",13,5,6,6,3
"Lang, C",5,3,3,1,2
"Dahl, D",11,4,6,6,3
"Anderson, J",2,2,6,6,0
"Graglia, P",0,3,6,4,0
"Flournoy, C",2,7,6,5,2
"Clark, D",9,9,6,5,2
"Guevara Zubilla, M",8,12,5,3,0
"Beverly, J",2,5,4,3,0
"Clark, J",0,7,3,6,2
"Rowe, S",2,10,3,0,0
"Chen, J",12,10,5,4,2
"Ambrose, S",12,4,6,1,3
"Tusia, T",5,4,4,5,2
"Maas, S",5,4,2,4,0
"Benmamoun, E",10,5,5,1,1
"Newmeyer, A",3,13,1,6,1
"Johnson-Roehr, S",3,11,4,1,3
"Taylor, A",11,11,4,3,1
"Hinders, K",6,8,3,1,0
"Lee, J",12,1,3,0,3
"Bennett, R",0,10,4,2,2
"Davis, J",4,2,4,1,3
"Silvers, H",9,10,1,6,3
"Nielsen, K",4,9,4,0,2
"Phillips, S",4,1,4,1,0
"Engelbrecht-Wig, R",14,11,2,6,2
"Jeong, S",8,5,4,4,3
"Sears, J",10,9,1,4,0
"Crosby, E",6,12,1,2,0
"Wang, I",9,5,1,5,1
"Cohen, S",2,2,5,4,2
"Glekas, A",14,4,3,3,1
"Bashir, R",10,4,6,0,2
"Spies, M",8,10,5,2,1
"Nadolski, E",10,5,1,3,0
"McQuiston, E",1,2,3,0,2
"Lown-Hecht, T",2,5,5,0,1
"Gabrieloff, E",9,5,4,6,0
"Gelston, S",9,9,6,0,3
"Chapman, K",12,12,5,3,0
"Hedeman, J",0,12,4,3,3
